"Transect","Genus_species","Total","size_10to20","size_20to30","size_30to35","size_35to50","size_50to80","size_80plus","Common.name"
"AGU01","Acanthochromis_polyacanthus",5,5,NA,NA,NA,NA,NA,"spiny chromis"
"AGU01","Acanthurus_mata",10,NA,8,2,NA,NA,NA,"yellowmask surgeonfish"
"AGU01","Acanthurus_pyroferus",3,NA,NA,NA,NA,NA,NA,"mimic surgeonfish"
"AGU01","Acanthurus_thompsoni",7,NA,7,NA,NA,NA,NA,"whitetail surgeonfish"
"AGU01","Aluterus_scriptus",1,NA,NA,1,NA,NA,NA,"scrawled filefish"
"AGU01","Amblyglyphidodon_aureus",2,2,NA,NA,NA,NA,NA,"golden damselfish"
"AGU01","Amblyglyphidodon_leucogaster",6,6,NA,NA,NA,NA,NA,"yellowbelly damselfish"
"AGU01","Anyperodon_leucogrammicus",1,NA,1,NA,NA,NA,NA,"slender grouper"
"AGU01","Balistapus_undulatus",2,1,1,NA,NA,NA,NA,"orange-lined triggerfish"
"AGU01","Bodianus_dictynna",2,2,NA,NA,NA,NA,NA,"redfin hogfish"
"AGU01","Bodianus_mesothorax",1,1,NA,NA,NA,NA,NA,"blackbelt hogfish"
"AGU01","Caesio_caerulaurea",150,150,NA,NA,NA,NA,NA,"scissortail fusilier"
"AGU01","Caesio_cuning",90,NA,90,NA,NA,NA,NA,"yellowtail fusilier"
"AGU01","Caesio_lunaris",2,NA,2,NA,NA,NA,NA,"lunar fusilier"
"AGU01","Carangoides_bajad",1,NA,1,NA,NA,NA,NA,"orangespotted trevally"
"AGU01","Centropyge_bicolor",3,3,NA,NA,NA,NA,NA,"bicolor angelfish"
"AGU01","Centropyge_tibicen",1,1,NA,NA,NA,NA,NA,"keyhole angelfish"
"AGU01","Cephalopholis_miniata",3,NA,3,NA,NA,NA,NA,"coral grouper"
"AGU01","Chaetodon_baronessa",8,8,NA,NA,NA,NA,NA,"eastern triangular butterflyfish"
"AGU01","Chaetodon_kleinii",2,2,NA,NA,NA,NA,NA,"sunburst butterflyfish"
"AGU01","Chaetodon_lunulatus",3,3,NA,NA,NA,NA,NA,"redfin butterflyfish"
"AGU01","Chaetodon_rafflesii",1,1,NA,NA,NA,NA,NA,"latticed butterflyfish"
"AGU01","Cheilinus_fasciatus",1,NA,1,NA,NA,NA,NA,"redbreasted wrasse"
"AGU01","Chlorurus_bleekeri",3,2,1,NA,NA,NA,NA,"bleeker's parrotfish"
"AGU01","Chlorurus_microrhinos",1,NA,NA,NA,1,NA,NA,"steephead parrotfish"
"AGU01","Chromis_scotochiloptera",7,7,NA,NA,NA,NA,NA,"philippines chromis"
"AGU01","Coris_gaimard",2,1,1,NA,NA,NA,NA,"yellowtail coris"
"AGU01","Ctenochaetus_binotatus",1,1,NA,NA,NA,NA,NA,"twospot bristletooth"
"AGU01","Ctenochaetus_striatus",3,3,NA,NA,NA,NA,NA,"lined bristletooth"
"AGU01","Epinephelus_ongus",1,NA,NA,1,NA,NA,NA,"speckled-fin grouper"
"AGU01","Genicanthus_lamarck",12,12,NA,NA,NA,NA,NA,"blackstriped angelfish"
"AGU01","Halichoeres_chloropterus",1,1,NA,NA,NA,NA,NA,"pastel-green wrasse"
"AGU01","Halichoeres_leucurus",1,1,NA,NA,NA,NA,NA,"chain-lined wrasse"
"AGU01","Hemigymnus_melapterus",1,NA,1,NA,NA,NA,NA,"blackeye thicklip"
"AGU01","Heniochus_chrysostomus",2,2,NA,NA,NA,NA,NA,"pennant bannerfish"
"AGU01","Heniochus_singularius",2,NA,2,NA,NA,NA,NA,"singular bannerfish"
"AGU01","Heniochus_varius",2,2,NA,NA,NA,NA,NA,"horned bannerfish"
"AGU01","Lethrinus_erythropterus",2,NA,NA,NA,2,NA,NA,"longfin emperor"
"AGU01","Lutjanus_bohar",1,NA,NA,NA,1,NA,NA,"red snapper"
"AGU01","Lutjanus_gibbus",2,NA,NA,NA,2,NA,NA,"humpback snapper"
"AGU01","Lutjanus_monostigma",2,NA,NA,NA,2,NA,NA,"onespot snapper"
"AGU01","Macolor_macularis",13,NA,1,2,10,NA,NA,"midnight snapper"
"AGU01","Monotaxis_grandoculis",1,NA,NA,1,NA,NA,NA,"humpnose bigeye bream"
"AGU01","Myripristis_kuntee",11,11,NA,NA,NA,NA,NA,"epaulette soldierfish"
"AGU01","Myripristis_violacea",5,5,NA,NA,NA,NA,NA,"violet soldierfish"
"AGU01","Naso_vlamingii",3,NA,NA,3,NA,NA,NA,"bignose unicornfish"
"AGU01","Neoglyphidodon_melas",1,1,NA,NA,NA,NA,NA,"black damsel"
"AGU01","Odonus_niger",2,NA,2,NA,NA,NA,NA,"red-toothed triggerfish"
"AGU01","Oxycheilinus_digramma",2,NA,2,NA,NA,NA,NA,"cheeklined wrasse"
"AGU01","Parupeneus_crassilabris",1,NA,1,NA,NA,NA,NA,"doublebar goatfish"
"AGU01","Platax_pinnatus",2,NA,NA,NA,2,NA,NA,"pinnate spadefish"
"AGU01","Plectorhinchus_lessonii",2,NA,NA,2,NA,NA,NA,"striped sweetlips"
"AGU01","Plectorhinchus_lineatus",1,NA,NA,NA,1,NA,NA,"yellowbanded sweetlips"
"AGU01","Pomacanthus_imperator",1,NA,NA,1,NA,NA,NA,"emperor angelfish"
"AGU01","Pterocaesio_tile",200,200,NA,NA,NA,NA,NA,"bluestreak fusilier"
"AGU01","Pygoplites_diacanthus",1,1,NA,NA,NA,NA,NA,"regal angelfish"
"AGU01","Scarus_flavipectoralis",2,NA,2,NA,NA,NA,NA,"yellowfin parrotfish"
"AGU01","Scarus_niger",3,2,1,NA,NA,NA,NA,"dusky parrotfish"
"AGU01","Scolopsis_margaritifer",1,NA,1,NA,NA,NA,NA,"pearly monocle bream"
