"Genus_species","Gaspar_code","Family","max.size.cm","Size","Mobility","Activity","Schooling","Position","Diet_Mouillot_2014","Diet_Parravicini_2020"
"Lutjanus_carponotatus","1424","Lutjanidae",40,4,2,3,4,2,"FC","crustacivores"
"Acanthurus_pyroferus","4742","Acanthuridae",25,3,1,1,1,1,"HD","herbivores microvores detritivores"
"Lutjanus_decussatus","1428","Lutjanidae",35,4,2,2,3,2,"FC","crustacivores"
"Odonus_niger","1311","Balistidae",50,4,3,1,4,3,"PK","macroinvertivores"
"Lethrinus_erythropterus","1842","Lethrinidae",50,5,3,3,3,1,"IM","piscivores"
"Ctenochaetus_binotatus","6012","Acanthuridae",22,3,1,1,3,1,"OM","herbivores microvores detritivores"
"Chaetodontoplus_mesoleucus","5660","Pomacanthidae",18,3,1,1,2,1,"IS","sessile invertivores"
"Ctenochaetus_striatus","1262","Acanthuridae",26,3,1,1,4,1,"OM","herbivores microvores detritivores"
"Chlorurus_bleekeri","4976","Scaridae",49,4,2,1,3,1,"OM","herbivores microvores detritivores"
"Caesio_cuning","919","Caesionidae",50,4,3,1,5,3,"PK","planktivores"
"Acanthurus_grammoptilus","4749","Acanthuridae",35,4,2,1,3,1,"HD","herbivores microvores detritivores"
"Chaetodon_baronessa","5558","Chaetodontidae",16,3,1,1,2,1,"IS","corallivores"
"Bodianus_mesothorax","5501","Labridae",25,3,2,1,1,1,"IM","macroinvertivores"
"Scarus_niger","5550","Scaridae",40,4,2,1,1,1,"OM","herbivores microvores detritivores"
"Cheilinus_fasciatus","5600","Labridae",40,4,2,1,1,1,"IM","crustacivores"
"Balistapus_undulatus","6025","Balistidae",30,4,2,1,1,1,"IM","macroinvertivores"
"Neoglyphidodon_melas","5707","Pomacentridae",18,3,1,1,1,1,"OM","planktivores"
"Scarus_quoyi","5554","Scaridae",40,4,2,1,3,1,"OM","herbivores microvores detritivores"
"Siganus_punctatissimus","4620","Siganidae",35,4,2,1,2,1,"HD","herbivores microvores detritivores"
"Cetoscarus_ocellatus","M-3953-G","Scaridae",NA,NA,2,1,3,1,NA,"herbivores microvores detritivores"
"Zebrasoma_scopas","5951","Acanthuridae",40,3,2,1,3,1,"HD","herbivores microvores detritivores"
"Carangoides_bajad","1923","Carangidae",55,5,3,2,3,3,"FC","piscivores"
"Pomacanthus_navarchus","5661","Pomacanthidae",28,3,1,1,1,1,"IS","sessile invertivores"
"Epibulus_brevis","63878","Labridae",18.5,3,2,1,1,1,"FC","crustacivores"
"Epinephelus_fasciatus","5348","Serranidae",40,4,2,2,1,1,"FC","crustacivores"
"Centropyge_tibicen","6548","Pomacanthidae",19,3,1,1,2,1,"HD","sessile invertivores"
"Pomacanthus_semicirculatus","5663","Pomacanthidae",40,4,1,1,1,1,"IS","sessile invertivores"
"Cephalopholis_microprion","6449","Serranidae",25,3,1,2,1,1,"FC","crustacivores"
"Pygoplites_diacanthus","6572","Pomacanthidae",25,3,1,1,1,1,"IS","sessile invertivores"
"Kyphosus_bigibbus","5804","Kyphosidae",75,5,3,1,4,2,"HM","herbivores microvores detritivores"
"Sphyraena_jello","4827","Sphyraenidae",150,6,3,3,4,3,"FC","piscivores"
"Kyphosus_cinerascens","5805","Kyphosidae",50,5,3,1,4,2,"HM","herbivores microvores detritivores"
"Platax_teira","5739","Ephippidae",70,5,3,1,4,2,"OM","herbivores microvores detritivores"
"Kyphosus_vaigiensis","5806","Kyphosidae",70,5,3,1,4,2,"HM","herbivores microvores detritivores"
"Naso_caeruleacauda","27318","Acanthuridae",40,4,3,1,5,3,"PK","herbivores microvores detritivores"
"Balistoides_viridescens","6026","Balistidae",75,5,2,1,1,1,"IM","macroinvertivores"
"Plectorhinchus_lineatus","6940","Haemulidae",72,5,2,1,3,1,"IM","macroinvertivores"
"Chlorurus_microrhinos","60479","Scaridae",70,5,2,1,3,1,"OM","herbivores microvores detritivores"
