transect,Site.name,zone,Latitude,Longitude,rugosity,fractal.d,Dive.site,fp.sasi,fish.FRic,fish.FDis,fish.RaoQ,fish.SR,coral.SR,cover_MA,cover_DC,cover_HC,cover_SC,cover_SS_SA,cover_RB,cover_SI,cover_SP,cover_UN,cover_CA_CCA,cover_OT,cover_TA,cover_HS_RB,cover_BL_HC,cover_live.coral,cover_dead.coral,fish_simpson,fish_shannon,sc_imputed,fish_comp_PC1
AGU01,agusta,UZ,-0.64926,130.571302,1.566346517,2.105644285,1,0.305550701,53,0.235391495,0.062083119,64,32,0.178,0.032,0.472,0.02,0.026,0.208,0.004,0.038,0.014,0.002,0,0.006,0,0,0.492,0.24,0.80830706,2.3970779,0,-0.241842423
AGU02,agusta,UZ,-0.64926,130.571302,1.610284183,2.111727233,1,0.305550701,49,0.24402701,0.064743359,57,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,0.749622487,2.203040461,1,-0.523583169
API01,pulau apibok,UZ,-0.493371,130.382193,1.800096815,2.13648694,0,0.031965704,39,0.209614685,0.05028612,47,13,0.068,0.034,0.444,0.068,0.144,0.172,0.008,0.046,0.004,0.002,0,0.01,0,0,0.512,0.206,0.946286848,3.37593297,0,0.265645753
API02,pulau apibok,UZ,-0.492602,130.379833,1.304719544,2.059738148,0,0.031965704,26,0.214363296,0.054176768,30,10,0.022,0.032,0.094,0.006,0.35,0.49,0,0.004,0.002,0,0,0,0,0,0.1,0.522,0.907483615,2.905771398,0,0.112001245
ARB02,arborek,NTZ,-0.565042,130.506824,2.566455857,2.191959599,1,0.380948144,32,0.183727671,0.041516385,40,19,0.04029304,0.021978022,0.498168498,0.122710623,0.08974359,0.206959707,0.001831502,0.014652015,0.001831502,0,0.001831502,0,0,0,0.620879121,0.228937729,0.848163291,2.667797147,0,-0.066473423
ARB03,arborek,NTZ,-0.565042,130.506824,2.141120756,2.169360902,1,0.380948144,29,0.236378863,0.06473533,43,27,0.05,0.016,0.374,0.288,0.082,0.178,0,0,0,0.006,0,0.006,0,0,0.662,0.194,0.881419771,2.881219553,0,-0.231020033
BLI01,batu lima,NTZ,-0.45023,130.69769,1.490342237,2.092445678,1,0.785497449,35,0.178938264,0.039192641,43,18,0.054,0.02,0.172,0.006,0.194,0.422,0.01,0.108,0.01,0,0.004,0,0,0,0.178,0.442,0.941319632,3.249259024,0,0.121645033
BLI02,batu lima,NTZ,-0.449945,130.697729,1.807199616,2.126995044,1,0.785497449,41,0.202560814,0.048055185,54,51,0.104444444,0.055555556,0.26,0.008888889,0.157777778,0.344444444,0.017777778,0.042222222,0.006666667,0,0.002222222,0,0,0,0.268888889,0.4,0.957164461,3.564725309,0,0.181871084
BUN01,bun kecil,UZ,-0.513763,130.550196,1.713924744,2.115324748,0,0.597747566,27,0.168966087,0.0367178,31,25,0.135902637,0.133874239,0.215010142,0.018255578,0.0831643,0.312373225,0.048681542,0.050709939,0.002028398,0,0,0,0,0,0.23326572,0.446247465,0.936061972,3.096605059,0,-0.046533439
BUN02,bun kecil,UZ,-0.514653,130.546385,1.615039708,2.109590569,0,0.597747566,41,0.214417765,0.055203688,51,40,0.132,0.028,0.342,0.038,0.064,0.356,0,0.028,0.008,0,0.004,0,0,0,0.38,0.384,0.912598012,3.108831234,0,-0.308795388
CKR01,cape kri,NTZ,-0.558491,130.687635,1.632670715,2.115637249,1,0.673684859,37,0.212897923,0.053756394,48,24,0.038,0.022,0.362,0.052,0.064,0.438,0.004,0.008,0.004,0.004,0.002,0.002,0,0,0.414,0.46,0.94922131,3.385992947,0,0.257769347
CKR03,cape kri,NTZ,-0.557085,130.689695,1.763145959,2.133974145,1,0.673684859,43,0.197085321,0.044089709,55,51,0.09,0.05,0.57,0.06,0.032,0.124,0.016,0.03,0.004,0.01,0,0.014,0,0,0.63,0.174,0.94749773,3.422255379,0,0.25973794
COV01,cove eco resort,UZ,-0.484872,130.362313,2.107285232,2.160473778,0,0.019093084,46,0.185505486,0.042258386,56,35,0.012,0.054,0.486,0.064,0.19,0.138,0,0.056,0,0,0,0,0,0,0.55,0.192,0.9606154,3.61539329,1,0.129012284
COV02,cove eco resort,UZ,-0.484896,130.362478,2.216691027,2.16901041,0,0.019093084,50,0.204126812,0.049865178,58,46,0.066,0.096,0.536,0.048,0.044,0.142,0.018,0.04,0.01,0,0,0,0,0,0.584,0.238,0.966511777,3.722000359,0,0.250741903
GAB01,gam bay,NTZ,-0.495922,130.561599,1.869223522,2.148337591,0,0.48396686,21,0.179292016,0.038426518,23,10,0.086,0.02,0.05,0,0.082,0.2,0,0.558,0.004,0,0,0,0,0,0.05,0.22,0.904996142,2.654970506,0,-0.512110492
GAB02,gam bay,NTZ,-0.496145,130.561272,1.684458301,2.11613311,0,0.48396686,23,0.182894797,0.041748224,27,13,0.108,0.05,0.1,0.002,0.234,0.282,0.002,0.22,0.002,0,0,0,0,0,0.102,0.332,0.865185185,2.612356882,0,-0.527772587
GRF01,gam reef,UZ,-0.510109,130.457344,3.148217634,2.250090375,1,0.162573208,52,0.222775919,0.055586235,61,11,0.094,0.014,0.434,0.01,0.114,0.32,0.002,0.01,0,0.002,0,0,0,0,0.444,0.334,0.81615917,2.684331138,0,-0.079603111
GRF02,gam reef,UZ,-0.509382,130.456602,1.783183511,2.117111794,1,0.162573208,47,0.219558357,0.054951254,58,18,0.142,0.164,0.16,0.074,0.25,0.136,0,0.052,0.012,0.008,0.002,0,0,0,0.234,0.3,0.833686949,2.544546827,0,-0.430706494
GUR01,gurara resort,NTZ,-0.44219,130.767853,1.485709122,2.079422562,0,1,39,0.214305148,0.053646716,47,31,0.068,0.074,0.322,0.014,0.05,0.44,0.006,0.012,0.012,0.002,0,0,0,0,0.336,0.514,0.831294252,2.538010265,0,0.017763787
GUR02,gurara resort,NTZ,-0.441936,130.768527,1.435317147,2.080848636,0,1,31,0.216351959,0.056036254,35,21,0.088,0.102,0.08,0.01,0.478,0.228,0,0.004,0.004,0,0.006,0,0,0,0.09,0.33,0.889660349,2.814451963,0,-0.439041742
IIN01,irwor inbekya,UZ,-0.555925,130.574064,2.360369981,2.171472695,0,0.840947526,30,0.221735159,0.057502371,41,20,0.004,0.002,0.49,0.048,0,0.4,0.002,0.012,0,0.04,0.002,0,0,0,0.538,0.402,0.928357583,3.174639576,0,0.03683116
IIN02,irwor inbekya,UZ,-0.558023,130.575901,1.844207744,2.13697104,0,0.840947526,42,0.195540298,0.044777312,49,24,0.046,0.106,0.388,0.05,0.06,0.324,0.004,0.01,0.004,0.008,0,0,0,0,0.438,0.43,0.790640911,2.606284015,0,0.213092661
KAP01,kapisawar,UZ,-0.532147,130.574109,1.959165049,2.147480345,0,0.557196107,34,0.227812132,0.061000982,43,37,0.07,0.11,0.414,0.058,0.034,0.248,0,0.052,0.014,0,0,0,0,0,0.472,0.358,0.554193238,1.763663618,0,0.128741775
KAP02,kapisawar,UZ,-0.531174,130.573291,1.815583956,2.140494985,0,0.557196107,37,0.196332353,0.050978387,50,39,0.088,0.052,0.454,0.142,0.012,0.154,0.01,0.086,0,0,0,0.002,0,0,0.596,0.206,0.9271297,3.270982856,0,0.131932031
KRB01,korbekwan homestay,NTZ,-0.507962,130.518025,1.939796431,2.149285945,0,0.390992931,31,0.199094078,0.049599331,38,14,0.112,0.004,0.244,0.206,0.148,0.238,0,0.04,0.002,0,0.006,0,0,0,0.45,0.242,0.853311341,2.814026564,0,0.181259163
KRB02,korbekwan homestay,NTZ,-0.508141,130.518455,1.83176258,2.138366753,0,0.390992931,33,0.180135388,0.042164425,39,15,0.172,0.01,0.48,0.122,0.008,0.152,0.004,0.048,0.004,0,0,0,0,0,0.602,0.162,0.955185292,3.376674634,0,0.122946467
KRD01,kordiris homestay,UZ,-0.50585,130.664731,1.546981118,2.0996151,0,0.821413902,22,0.180931498,0.043884186,27,18,0.034,0.014,0.208,0.018,0.008,0.64,0.002,0.044,0.014,0.012,0.004,0.002,0,0,0.226,0.654,0.92933041,2.956115963,0,-0.054492946
KRD02,kordiris homestay,UZ,-0.507196,130.665849,1.598972621,2.106355134,0,0.821413902,40,0.204045068,0.053450354,47,34,0.082,0.124,0.194,0.05,0.11,0.392,0.004,0.04,0.004,0,0,0,0,0,0.244,0.516,0.918716013,3.145749814,0,0.216735329
KUR01,kurkapa,UZ,-0.573255,130.61928,2.04500749,2.155611887,0,0.691438857,44,0.193863541,0.044847591,55,20,0.024,0.008,0.42,0.01,0.064,0.4,0.002,0.036,0.018,0.014,0.004,0,0,0,0.43,0.408,0.96328125,3.61723132,0,0.041974639
KUR02,kurkapa,UZ,-0.573092,130.619919,1.728517897,2.12738792,0,0.691438857,42,0.188029776,0.044194836,50,29,0.056,0.046,0.49,0.028,0.01,0.292,0.002,0.054,0.02,0,0.002,0,0,0,0.518,0.338,0.969586777,3.691144234,0,0.126858396
