Site.name,Dive.site,Zone,Sasi,Latitude,Longitude,NOTE,Site.code,fp.sasi,fp.nosasi,GWA_zone,wave_exposure,wave_exp_norm,wave_exposure2,wave_exp_norm2
yeben shallows,1,UZ,0,-0.491533,130.3343,NA,YEB,0,0,zone01,0.066160906,0.856692681,0.030036459,0.919127925
cove eco resort,0,UZ,0,-0.484212,130.359942,NA,COV,0.019093084,0.017652769,zone01,0.052021634,0.673293681,0.02469032,0.755180063
pulau apibok,0,UZ,0,-0.493371,130.382193,NA,API,0.031965704,0.032367469,zone01,0.053490166,0.692341859,0.024681994,0.754924738
mayhem,1,UZ,0,-0.512583,130.445345,NA,MHM,0.137323865,0.101410215,zone01,0.054937868,0.711119845,0.030231074,0.925096085
repef,1,UZ,0,-0.442448,130.432629,NA,REP,0.064693494,0.055408222,zone01,0.025317503,0.326917231,0.011531756,0.351651836
pulau pef,1,NTZ,0,-0.445552,130.450432,NA,PEF,0.057374592,0.053670361,zone01,0.000113594,0,6.48183601317376e-05,0
gam reef,1,UZ,0,-0.510109,130.457344,NA,GRF,0.162573208,0.115431878,zone01,0.049350251,0.638643462,0.029995043,0.917857836
west gam,0,UZ,0,-0.476491,130.466354,NA,WGA,0.07319204,0.063397854,zone01,0.000440247,0.004236986,0.000222453,0.004834131
lalosi,1,NTZ,0,-0.548167,130.498333,NA,LAL,0.386763405,0.270754548,zone02,0.07514076,0.97316941,0.023213372,0.709887113
arborek,1,NTZ,1,-0.565042,130.506824,NA,ARB,0.380948144,0.382894548,zone02,0.066105432,0.855973129,0.022269257,0.680934332
korbekwan homestay,0,NTZ,0,-0.507962,130.518025,NA,KRB,0.390992931,0.233621849,zone02,0.055408999,0.717230837,0.020404666,0.6237537
north reef arborek,0,UZ,0,-0.546665,130.529194,NA,NRA,0.569632995,0.386500662,zone02,0.05704901,0.738503242,0.023842144,0.729169413
bun kecil,0,UZ,0,-0.513763,130.550196,NA,BUN,0.597747566,0.377843022,zone02,0.036794324,0.475781866,0.011878567,0.362287336
west mansuar,1,UZ,0,-0.606481,130.555112,NA,WMA,0.5553369,0.315125403,zone03,0.077209283,1,0.032673599,1
off manta sandy,0,UZ,0,-0.5804,130.56174,NA,OMA,0.702685143,0.402715733,zone02,0.074502718,0.964893439,0.022496564,0.687905069
north mansuar,0,UZ,0,-0.593665,130.570769,NA,NMA,0.661572492,0.371552196,zone03,0.017454585,0.224928156,0.009155083,0.278767392
irwor inbekya,0,UZ,0,-0.555925,130.574064,NA,IIN,0.840947526,0.579013492,zone02,0.057934032,0.749982771,0.018137972,0.554241923
kapisawar,0,UZ,0,-0.532147,130.574109,NA,KAP,0.557196107,1,zone02,0.054988167,0.711772266,0.01732422,0.529286934
agusta,1,UZ,0,-0.651293,130.574903,NA,AGU,0.305550701,0.187562524,zone03,0.066123814,0.856211568,0.019438721,0.594131476
sengky bay,0,UZ,0,-0.489138,130.591423,NA,SGK,0.322079643,0.187540035,zone02,0.006612746,0.084299818,0.002223834,0.066209625
gam bay,0,NTZ,0,-0.495629,130.561795,NA,GAB,0.48396686,0.290907368,zone02,0.022129684,0.285568372,0.00634737,0.192664411
sawandarek,1,NTZ,1,-0.590071,130.603292,NA,SAW,0.301097059,0.671282374,zone03,0.000546234,0.005611724,0.000322001,0.007886917
merpati,1,UZ,0,-0.65274,130.603985,NA,MER,0.299860427,0.187800084,zone03,0.065180795,0.843979762,0.014597177,0.445657841
papua explorers,0,UZ,0,-0.52667,130.610414,NA,PAP,0.83722078,0.689810241,zone04,0.018180642,0.234345768,0.01054362,0.321349081
kurkapa,0,UZ,0,-0.573255,130.61928,NA,KUR,0.691438857,0.978604242,zone03,0.009669954,0.123954538,0.008031435,0.244308931
sawidok,0,UZ,0,-0.586743,130.620794,NA,SWI,0.53713501,0.394933489,zone03,0.023103506,0.298199709,0.017594866,0.537586734
otdima reef,1,UZ,0,-0.540383,130.631083,NA,OTD,0.966219775,0.596240215,zone04,0.031765698,0.410556081,0.01893433,0.578663498
yenbekwan,0,UZ,0,-0.569026,130.639864,NA,YBK,0.82308758,0.77913717,zone03,0.010308632,0.132238764,0.006551285,0.198917776
yenbuba,1,NTZ,1,-0.568828,130.658415,NA,YBU,0.717238248,0.782967876,zone03,0.016573288,0.213496942,0.0093178,0.283757366
kordiris homestay,0,UZ,0,-0.50585,130.664731,NA,KRD,0.821413902,0.466583763,zone04,0.016115377,0.207557434,0.008865102,0.269874653
yendebabo north,0,UZ,0,-0.487553,130.672947,NA,YBO,0.759699122,0.517871779,zone04,0.002750752,0.034206299,0.001174505,0.034030296
mike's point,1,NTZ,0,-0.515954,130.673279,NA,MKP,0.81657834,0.458900609,zone04,0.034367271,0.444300809,0.018749861,0.573006491
pulau urai,0,UZ,0,-0.413396,130.682197,NA,URA,0.503968403,0.294751946,zone04,0.018503507,0.238533618,0.004935499,0.149367145
yenbeser,0,UZ,0,-0.46349,130.686703,NA,YEN,0.606575087,0.782669274,zone04,0.017214663,0.22181615,0.00542793,0.164468315
cape kri,1,NTZ,0,-0.558491,130.687635,NA,CKR,0.673684859,0.389778567,zone03,0.000235164,0.001576871,0.000134508,0.00213714
batu lima,1,NTZ,0,-0.45023,130.69769,NA,BLI,0.785497449,0.538875834,zone04,0.021607703,0.278797814,0.006823573,0.207267944
sardine reef,1,NTZ,0,-0.534433,130.716283,NA,SAR,0.648948918,0.364765649,zone04,0.026672967,0.344498814,0.012333008,0.376223497
raja ampat eco lodge,0,NTZ,1,-0.429173,130.717659,NA,REL,0.719668604,0.476900748,zone04,0.011210107,0.1439317,0.004445788,0.134349381
mioskon,1,NTZ,0,-0.497446,130.726704,NA,MIO,0.771775267,0.434178185,zone04,0.042953901,0.555677077,0.017596604,0.53764002
gurara resort,0,NTZ,0,-0.440682,130.770911,NA,GUR,1,0.571473884,zone04,0.026282403,0.339432842,0.010189524,0.310490153
