Transect.code,Transect.name,Site.name,Date,Time,Abundance,Species.richness,SEA.People.category,Latitude,Longitude,Diver,Buddy,Visibility,Direction,Depth,Length,SC.index,Reef.side.big.fish,Reef.side.small.fish,Small.fish.start,Small.fish.end,Big.fish.start,Big.fish.end,Notes,zone
PEF01,Southeast Pef,pulau pef,2023-09-25,9:20,197,30,,-0.445552,130.450432,PFF,IMC,15,East,10,50,3,right,left,15,35,9,14,,NTZ
WMA01,West Mansuar,west mansuar,2023-09-27,8:40,835,59,,-0.606481,130.555112,PFF,IMC,20,West,10,50,4,right,left,20,39,9,19,Incomplete coral quadrats,UZ
KAP01,Kapisawar jetty,kapisawar,2023-09-28,9:00,401,44,,-0.532147,130.574109,PFF,IMC,20,North,10,50,2,left,right,14,35,8,13,,UZ
BUN01,Bun Kecil East,bun kecil,2023-09-28,11:50,93,31,,-0.513763,130.550196,PFF,IMC,15,South,10,50,1,left,right,11,27,6,11,,UZ
ARB02,Arborek tip,arborek,2023-10-05,11:00,180,42,healthy,-0.565042,130.506824,PFF,SM,15,East,10,50,3,left,right,15,30,7,11,,NTZ
YEN01,Yenbeser jetty,yenbeser,2023-10-06,8:30,194,28,,-0.46349,130.686703,PFF,SM,15,West,10,50,1,right,left,13,25,7,12,,UZ
BLI01,Batu Lima,batu lima,2023-10-09,8:30,172,44,,-0.45023,130.69769,PFF,MM,12,South,10,50,1,left,right,10,28,5,9,,NTZ
KRD01,Kordiris Homestay,kordiris homestay,2023-10-09,13:20,80,30,,-0.50585,130.664731,PFF,MM,20,East,10,50,3,right,left,16,30,13,16,,UZ
NMA01,North Mansuar,north mansuar,2023-10-10,8:20,111,39,,-0.593665,130.570769,PFF,MM,30,West,10,50,1,left,right,19,34,14,18,,UZ
OMA01,Off Manta Sandy,off manta sandy,2023-10-10,10:30,93,32,,-0.5804,130.56174,PFF,MM,20,North,10,50,1,right,left,11,26,6,9,,UZ
YBU01,Yenbuba jetty,yenbuba,2023-10-11,8:30,217,66,healthy,-0.568828,130.658415,PFF,MM,30,West,10,50,3,left,right,12,45,6,11,,NTZ
KUR01,Kurkapa jetty,kurkapa,2023-10-11,10:50,160,57,,-0.573255,130.61928,PFF,MM,30,East,10,50,2,left,right,11,40,6,11,,UZ
NRA01,North Reef Arborek,north reef arborek,2023-10-11,15:40,77,31,,-0.546665,130.529194,PFF,MM,10,South,10,50,2,right,left,14,30,10,14,,UZ
