village,Latitude,Longitude,sasi,population
Arborek,-0.564713,130.517949,1,200
Sawinggrai,-0.535123,130.580612,1,200
Kapisawar,-0.53052,130.574795,0,200
Kabui,-0.454543,130.552406,0,200
Sawandarek,-0.589624,130.60214,1,200
Yenbekwan,-0.5746,130.631115,0,200
Kurkapa,-0.574513,130.619244,0,200
Yenbuba,-0.570529,130.654659,1,200
Yenwaupnor,-0.528466,130.60325,0,200
Friwen,-0.47259,130.690874,1,200
Yenbeser,-0.465704,130.681271,0,200
Saporkren,-0.437734,130.729403,0,200
Saonek,-0.466327,130.783296,0,200
Marandanweser,-0.796552,130.574848,0,200
Yensawai,-0.805096,130.67868,0,200
Arefi,-0.790697,130.703307,0,200
Waiweser,-0.757299,130.782645,0,200
Waisai,-0.426781,130.824582,0,8500
Mutus,-0.345079,130.347035,0,200
Bianci,-0.311337,130.36154,0,200
Meos Manggara,-0.394177,130.258395,0,200
Waisilip,-0.256217,130.362235,0,200
Manyaifun,-0.331471,130.218369,0,200
Wawiyai,-0.300758,130.665909,0,200
Saukabu,-0.647633,130.314136,0,200
Pam,-0.669106,130.29712,0,200
