"Common.name","Genus_species","RLS_abund","Abund"
"Moon wrasse","Thalassoma_lunare",485,314
"Pinstriped wrasse","Halichoeres_melanurus",349,42
"Yellowbelly damselfish","Amblyglyphidodon_leucogaster",310,274
"Twotone tang","Zebrasoma_scopas",304,337
"Golden damselfish","Amblyglyphidodon_aureus",294,126
"Orange-lined triggerfish","Balistapus_undulatus",285,281
"Lined bristletooth","Ctenochaetus_striatus",285,384
"Yellowface wrasse","Halichoeres_solorensis",246,5
"Sunburst butterflyfish","Chaetodon_kleinii",227,68
"Redfin hogfish","Bodianus_dictynna",226,58
"Twospot bristletooth","Ctenochaetus_binotatus",213,280
"Dusky parrotfish","Scarus_niger",208,250
"Vermiculated angelfish","Chaetodontoplus_mesoleucus",195,103
"Bleeker's parrotfish","Chlorurus_bleekeri",190,191
"Moorish idol","Zanclus_cornutus",182,230
"bridled monocle bream","Scolopsis_bilineata",174,85
"Eastern triangular butterflyfish","Chaetodon_baronessa",167,211
"Bullethead parrotfish","Chlorurus_sordidus",162,135
"Philippines chromis","Chromis_scotochiloptera",157,216
"Yellowfin parrotfish","Scarus_flavipectoralis",152,266
"Manybar goatfish","Parupeneus_multifasciatus",150,37
"Cheeklined wrasse","Oxycheilinus_digramma",148,45
"Threespot dascyllus","Dascyllus_trimaculatus",147,76
"Redbreasted wrasse","Cheilinus_fasciatus",141,111
"Mimic surgeonfish","Acanthurus_pyroferus",139,324
"Bluespotted grouper","Acanthurus_pyroferus",131,324
"Latent slingjaw wrasse","Epibulus_brevis",130,109
"Regal angelfish","Pygoplites_diacanthus",126,111
"Banana fusilier","Pterocaesio_pisang",121,1432
"Spiny chromis","Acanthochromis_polyacanthus",114,76
"Horned bannerfish","Heniochus_varius",112,99
"Coral grouper","Cephalopholis_miniata",105,43
"Checkerboard wrasse","Halichoeres_hortulanus",105,51
"Redfin butterflyfish","Chaetodon_lunulatus",104,86
"Tubelip wrasse","Labrichthys_unilineatus",101,35
"Red-toothed triggerfish","Odonus_niger",98,391
"Blackeye thicklip","Hemigymnus_melapterus",95,57
"Orangespotted trevally","Carangoides_bajad",92,139
"Twotone wrasse","Halichoeres_prosopeion",91,12
"Black damsel","Neoglyphidodon_melas",90,53
"Bignose unicornfish","Naso_vlamingii",87,259
"Yellowtail fusilier","Caesio_cuning",83,1756
"Freckled grouper","Cephalopholis_microprion",83,94
"Bicolor angelfish","Centropyge_bicolor",82,30
"Epaulette soldierfish","Myripristis_kuntee",76,226
"Blackbelt hogfish","Bodianus_mesothorax",75,42
"Checkered snapper","Lutjanus_decussatus",73,33
"Scythe triggerfish","Sufflamen_bursa",73,68
"Keyhole angelfish","Centropyge_tibicen",72,26
"Yellow-barred parrotfish","Scarus_dimidiatus",72,64
"Longfin emperor","Lethrinus_erythropterus",68,68
"Pearlscale angelfish","Centropyge_vrolikii",67,14
"Spot-tail butterflyfish","Chaetodon_ocellicaudus",67,25
"Violet soldierfish","Myripristis_violacea",67,140
"Celebes wrasse","Oxycheilinus_celebicus",64,46
"Chinese trumpetfish","Aulostomus_chinensis",62,8
"Bluntheaded wrasse","Thalassoma_amblycephalum",61,1
